 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/Asymptotic_equipartition_property" , "building --- theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Atiyah–Bott_fixed-point_theorem" , "theorem" , "Fixed-point theorems --- Theorems in differential topology" ,
 "http://dbpedia.org/resource/Atiyah–Bott_formula" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Atiyah–Segal_completion_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Atiyah–Singer_index_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Atkinson's_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Atkinson–Mingarelli_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Aubin–Lions_lemma" , "theorem" , "Lemmas --- Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Auerbach's_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Aumann's_agreement_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Auslander–Buchsbaum_formula" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Auslander–Buchsbaum_theorem" , "protein --- theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Autonomous_convergence_theorem" , "theorem" , "Theorems in dynamical systems" ,
 "http://dbpedia.org/resource/Ax–Grothendieck_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Ax–Kochen_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Azuma's_inequality" , "inequality --- theorem" , "Probabilistic inequalities" ,
 "http://dbpedia.org/resource/B-theorem" , "theorem" , "Conjectures which were proven --- Theorems in group theory" ,
 "http://dbpedia.org/resource/BEST_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Babenko–Beckner_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Babuška–Lax–Milgram_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Baer–Suzuki_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Baire_category_theorem" , "software --- theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Baker's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Balance_theorem" , "Band --- theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Balian–Low_theorem" , "theorem" , "Theorems in Fourier analysis" ,
 "http://dbpedia.org/resource/Balinski's_theorem" , "theorem" , "Theorems in discrete geometry --- Theorems in graph theory" ,
 "http://dbpedia.org/resource/Banach_fixed-point_theorem" , "software --- theorem" , "Fixed-point theorems" ,
 "http://dbpedia.org/resource/Banach–Alaoglu_theorem" , "theorem" , "Compactness theorems" ,
 "http://dbpedia.org/resource/Banach–Mazur_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Banach–Stone_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Banach–Tarski_paradox" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Bapat–Beg_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Baranyai's_theorem" , "theorem" , "Theorems in combinatorics" ,
 "http://dbpedia.org/resource/Barban–Davenport–Halberstam_theorem" , "theorem" , "Theorems in analytic number theory" ,
 "http://dbpedia.org/resource/Barbier's_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Barrow's_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Bartlett's_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Barwise_compactness_theorem" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Basu's_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Bauerian_extension" , "software --- theorem" , "Theorems in algebraic number theory" ,
 "http://dbpedia.org/resource/Bauer–Fike_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Bayes'_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Beauville–Laszlo_theorem" , "theorem" , "Theorems in abstract algebra --- Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Beck's_theorem_(geometry)" , "theorem" , "Theorems in discrete geometry" ,
 "http://dbpedia.org/resource/Beckman–Quarles_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Beck–Fiala_theorem" , "theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Beez's_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Behnke–Stein_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Behrend's_trace_formula" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Bell's_theorem" , "no-go theorem --- theorem" , "Inequalities --- Theorems in quantum physics" ,
 "http://dbpedia.org/resource/Beltrami's_theorem" , "theorem" , "Theorems in Riemannian geometry" ,
 "http://dbpedia.org/resource/Belyi's_theorem" , "anatomical structure --- theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Bendixson–Dulac_theorem" , "theorem" , "Theorems in dynamical systems" ,
 "http://dbpedia.org/resource/Bennett's_inequality" , "inequality --- theorem" , "Probabilistic inequalities" ,
 "http://dbpedia.org/resource/Berge's_lemma" , "prison --- theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Berger's_inequality_for_Einstein_manifolds" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Berger–Kazdan_comparison_theorem" , "inequality --- theorem" , "Geometric inequalities --- Theorems in Riemannian geometry" ,
 "http://dbpedia.org/resource/Bernoulli's_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Bernstein's_inequality_(mathematical_analysis)" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Bernstein's_theorem_(approximation_theory)" , "theorem" , "Theorems in approximation theory" ,
 "http://dbpedia.org/resource/Bernstein's_theorem_on_monotone_functions" , "theorem" , "Theorems in measure theory --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Bernstein_inequalities_(probability_theory)" , "inequality --- theorem" , "Probabilistic inequalities" ,
 "http://dbpedia.org/resource/Bernstein–Kushnirenko_theorem" , "theorem" , "Theorems in algebra --- Theorems in geometry" ,
 "http://dbpedia.org/resource/Bernstein–von_Mises_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Berry–Esseen_theorem" , "inequality --- theorem" , "Probabilistic inequalities --- Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Bertrand's_ballot_theorem" , "theorem" , "Probability theorems --- Theorems in combinatorics" ,
 "http://dbpedia.org/resource/Bertrand's_postulate" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Bertrand–Diquet–Puiseux_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Besicovitch_covering_theorem" , "theorem" , "Covering lemmas --- Theorems in analysis" ,
 "http://dbpedia.org/resource/Bessel's_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Beurling–Lax_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Bhaskara's_lemma" , "lemma" , "Lemmas" ,
 "http://dbpedia.org/resource/Bhatia–Davis_inequality" , "inequality --- theorem" , "Statistical inequalities" ,
 "http://dbpedia.org/resource/Biconditional_elimination" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Biconditional_introduction" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Bihari–LaSalle_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Binet–Cauchy_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Bing's_recognition_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Bing_metrization_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Binomial_inverse_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Binomial_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Bipolar_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Birch's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Birkhoff's_representation_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Birkhoff's_theorem_(relativity)" , "theorem" , "Theorems in general relativity" ,
 "http://dbpedia.org/resource/Birkhoff–Grothendieck_theorem" , "theorem" , "Theorems in algebraic geometry --- Theorems in complex geometry --- Theorems in projective geometry" ,
 "http://dbpedia.org/resource/Bishop–Gromov_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
