 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/Disjunction_elimination" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Disjunction_introduction" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Disjunctive_syllogism" , "rule of inference" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Distributive_property" , "rule of replacement" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Divergence_of_the_sum_of_the_reciprocals_of_the_primes" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Divergence_theorem" , "Identity --- formula --- theorem" , "Theorems in calculus" ,
 "http://dbpedia.org/resource/Dixon's_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Dodecahedral_conjecture" , "theorem" , "Conjectures which were proven --- Theorems in geometry" ,
 "http://dbpedia.org/resource/Dold–Thom_theorem" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Dominated_convergence_theorem" , "theorem" , "Probability theorems --- Theorems in measure theory --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Donaldson's_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Donsker's_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Doob's_martingale_convergence_theorems" , "book --- theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Doob's_martingale_inequality" , "inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Doob_decomposition_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Doob_martingale" , "company --- inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Doob–Dynkin_lemma" , "lemma --- theorem" , "Probability theorems --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Doob–Meyer_decomposition_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Double_centralizer_theorem" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Double_limit_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Double_negation" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Double_suspension_theorem" , "ArtificialSatellite --- theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Droz-Farny_line_theorem" , "theorem" , "Theorems in geometry --- Theorems in projective geometry" ,
 "http://dbpedia.org/resource/Dudley's_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Dunford–Schwartz_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Dvoretzky's_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Dvoretzky–Kiefer–Wolfowitz_inequality" , "inequality --- theorem" , "Statistical inequalities" ,
 "http://dbpedia.org/resource/Dynkin's_formula" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Dyson_conjecture" , "conjecture" , "Conjectures which were proven --- Mathematical identities" ,
 "http://dbpedia.org/resource/Dévissage" , "theorem --- topical concept" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/ELSV_formula" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Earle–Hamilton_fixed-point_theorem" , "theorem" , "Fixed-point theorems --- Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Easton's_theorem" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Eaton's_inequality" , "inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Eberlein–Šmulian_theorem" , "theorem" , "Compactness theorems --- Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Edge-of-the-wedge_theorem" , "theorem" , "Theorems in complex analysis --- Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/Egorov's_theorem" , "theorem" , "Theorems in measure theory" ,
 "http://dbpedia.org/resource/Ehrenfest_theorem" , "theorem" , "Theorems in quantum physics" ,
 "http://dbpedia.org/resource/Ehrenpreis_conjecture" , "theorem" , "Conjectures which were proven --- Theorems in topology" ,
 "http://dbpedia.org/resource/Ehresmann's_lemma" , "lemma --- theorem" , "Theorems in differential topology" ,
 "http://dbpedia.org/resource/Ehrling's_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Eilenberg's_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Eilenberg–Ganea_conjecture" , "conjecture --- single" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Eilenberg–Ganea_theorem" , "device --- theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Eilenberg–Zilber_theorem" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Eisenbud–Levine–Khimshiashvili_signature_formula" , "formula --- theorem" , "Theorems in differential topology" ,
 "http://dbpedia.org/resource/Eisenstein's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Elitzur's_theorem" , "theorem" , "Statistical mechanics theorems --- Theorems in quantum physics" ,
 "http://dbpedia.org/resource/Engel's_theorem" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Enriques–Babbage_theorem" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Entropy_power_inequality" , "inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Envelope_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Equal_incircles_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Equichordal_point_problem" , "theorem --- work" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Equidistribution_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Equioscillation_theorem" , "disease --- theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Equipartition_theorem" , "agent --- theorem" , "Statistical mechanics theorems" ,
 "http://dbpedia.org/resource/Erdős–Anning_theorem" , "theorem" , "Theorems in discrete geometry --- Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Erdős–Fuchs_theorem" , "theorem" , "Theorems in combinatorics --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Erdős–Gallai_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Erdős–Graham_problem" , "mathematical problem --- theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Erdős–Kac_theorem" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Erdős–Ko–Rado_theorem" , "theorem" , "Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Erdős–Mordell_inequality" , "inequality --- theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Erdős–Nagy_theorem" , "theorem" , "Theorems in discrete geometry" ,
 "http://dbpedia.org/resource/Erdős–Pósa_theorem" , "disease --- theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Erdős–Rado_theorem" , "organisation --- theorem" , "Theorems in combinatorics" ,
 "http://dbpedia.org/resource/Erdős–Stone_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Erdős–Szekeres_theorem" , "theorem" , "Theorems in discrete geometry --- Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Erdős–Szemerédi_theorem" , "theorem" , "Theorems in discrete mathematics --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Erdős–Turán_inequality" , "theorem" , "Inequalities --- Theorems in approximation theory" ,
 "http://dbpedia.org/resource/Esenin-Volpin's_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Estimation_lemma" , "inequality --- theorem" , "Lemmas --- Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Etemadi's_inequality" , "inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Euclid's_lemma" , "lemma" , "Lemmas --- Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Euclid's_theorem" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Euclidean_division" , "Election --- theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Euclid–Euler_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Euler's_criterion" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Euler's_formula" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Euler's_four-square_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Euler's_identity" , "theorem" , "Mathematical identities --- Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Euler's_rotation_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Euler's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Euler's_theorem_(differential_geometry)" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Euler's_theorem_in_geometry" , "theorem" , "Geometric inequalities" ,
 "http://dbpedia.org/resource/Euler–Maclaurin_formula" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Excision_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Existence_theorem" , "theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Expander_mixing_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Exportation_(logic)" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Exterior_angle_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Extreme_value_theorem" , "theorem" , "Theorems in calculus --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/F._and_M._Riesz_theorem" , "theorem" , "Theorems in measure theory" ,
 "http://dbpedia.org/resource/FKG_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Fabry_gap_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Factor_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Factorization_lemma" , "theorem --- work" , "Lemmas" ,
 "http://dbpedia.org/resource/Fagin's_theorem" , "theorem" , "Theorems in computational complexity theory" ,
 "http://dbpedia.org/resource/Faltings's_theorem" , "theorem" , "Theorems in algebraic geometry --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Fannes–Audenaert_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Fano's_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Farkas'_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Farrell–Markushevich_theorem" , "theorem" , "Theorems in complex analysis --- Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Fary–Milnor_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Fatou's_lemma" , "lemma" , "Inequalities --- Lemmas --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Fatou's_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Fatou–Lebesgue_theorem" , "theorem" , "Theorems in measure theory --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Favard's_theorem" , "theorem" , "Theorems in approximation theory" ,
 "http://dbpedia.org/resource/Fay's_trisecant_identity" , "person --- theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Faà_di_Bruno's_formula" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Federer–Morse_theorem" , "software --- theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Feit–Thompson_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Fejér's_theorem" , "theorem" , "Theorems in approximation theory" ,
 "http://dbpedia.org/resource/Fekete–Szegő_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Feller's_coin-tossing_constants" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Fenchel's_duality_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Fenchel's_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Fenchel–Moreau_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Fermat's_Last_Theorem" , "theorem" , "Fermat's Last Theorem --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Fermat's_Last_Theorem_(book)" , "book --- work --- written work" , "Fermat's Last Theorem" ,
 "http://dbpedia.org/resource/Fermat's_little_theorem" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Fermat's_right_triangle_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Fermat's_theorem_(stationary_points)" , "theorem" , "Theorems in calculus --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Fermat's_theorem_on_sums_of_two_squares" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Fermat_polygonal_number_theorem" , "settlement --- theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Fernique's_theorem" , "theorem" , "Probability theorems --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Ferrero–Washington_theorem" , "theorem" , "Theorems in algebraic number theory" ,
 "http://dbpedia.org/resource/Fiber_bundle_construction_theorem" , "theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Fieller's_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Final_value_theorem" , "theorem" , "Theorems in Fourier analysis" ,
 "http://dbpedia.org/resource/Finsler–Hadwiger_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Firewall_(physics)" , "disease" , "Theorems in general relativity" ,
 "http://dbpedia.org/resource/First_case_of_Fermat's_Last_Theorem" , "military unit --- theorem" , "Fermat's Last Theorem" ,
 "http://dbpedia.org/resource/Fishburn–Shepp_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Fisher's_fundamental_theorem_of_natural_selection" , "organisation" , "Fundamental theorems" ,
 "http://dbpedia.org/resource/Fisher's_inequality" , "inequality" , "Statistical inequalities" ,
 "http://dbpedia.org/resource/Fisher–Tippett–Gnedenko_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Fitting's_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Fitting_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Five_circles_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Five_color_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Five_lemma" , "lemma" , "Lemmas" ,
 "http://dbpedia.org/resource/Five_points_determine_a_conic" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Fixed-point_lemma_for_normal_functions" , "lemma --- theorem" , "Fixed-point theorems --- Lemmas" ,
 "http://dbpedia.org/resource/Fixed-point_theorem" , "theorem" , "Fixed-point theorems" ,
 "http://dbpedia.org/resource/Fixed-point_theorems_in_infinite-dimensional_spaces" , "theorem" , "Fixed-point theorems" ,
 "http://dbpedia.org/resource/Fleischner's_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Fluctuation-dissipation_theorem" , "software --- theorem" , "Statistical mechanics theorems" ,
 "http://dbpedia.org/resource/Fluctuation_theorem" , "theorem" , "Statistical mechanics theorems" ,
 "http://dbpedia.org/resource/Focal_subgroup_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Fodor's_lemma" , "lemma" , "Lemmas" ,
 "http://dbpedia.org/resource/Fold-and-cut_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/Folkman's_theorem" , "theorem" , "Theorems in combinatorics --- Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Foster's_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Four-vertex_theorem" , "theorem" , "Theorems in differential geometry --- Theorems in discrete geometry" ,
 "http://dbpedia.org/resource/Four_color_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Fourier_inversion_theorem" , "theorem" , "Theorems in Fourier analysis" ,
 "http://dbpedia.org/resource/Frattini's_argument" , "lemma" , "Lemmas" ,
 "http://dbpedia.org/resource/Fraïssé's_theorem" , "person --- theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Fraňková–Helly_selection_theorem" , "theorem" , "Compactness theorems --- Theorems in analysis" ,
 "http://dbpedia.org/resource/Fred_Diamond" , "agent --- human --- person --- scientist" , "Fermat's Last Theorem" ,
 "http://dbpedia.org/resource/Fredholm's_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Frege's_theorem" , "theorem" , "Theorems in propositional logic --- Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Freidlin–Wentzell_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Freiman's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Freudenthal_spectral_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Freudenthal_suspension_theorem" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Friedlander–Iwaniec_theorem" , "theorem" , "Theorems about prime numbers --- Theorems in analytic number theory" ,
 "http://dbpedia.org/resource/Friedman’s_SSCG_function" , "software" , "Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Friedrichs'_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Frisch–Waugh–Lovell_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Frobenius_determinant_theorem" , "company --- theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Frobenius_theorem_(differential_topology)" , "theorem" , "Theorems in differential geometry --- Theorems in differential topology" ,
 "http://dbpedia.org/resource/Frobenius_theorem_(real_division_algebras)" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Froda's_theorem" , "theorem" , "Theorems in real analysis" ,
 "http://dbpedia.org/resource/Frucht's_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Fréchet_inequalities" , "Australian rules football player --- inequality --- theorem" , "Probabilistic inequalities --- Statistical inequalities" ,
 "http://dbpedia.org/resource/Fréchet–Kolmogorov_theorem" , "theorem" , "Compactness theorems --- Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Fubini's_theorem" , "theorem" , "Theorems in calculus --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Fubini's_theorem_on_differentiation" , "theorem" , "Theorems in measure theory --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Fuchs'_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Fueter–Pólya_theorem" , "theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Fuglede's_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Fulkerson–Chen–Anstee_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Full_employment_theorem" , "theorem" , "Mathematical theorems" ,
 "http://dbpedia.org/resource/Fulton–Hansen_connectedness_theorem" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Fundamental_lemma_(Langlands_program)" , "lemma --- theorem" , "Theorems in algebra --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Fundamental_lemma_of_calculus_of_variations" , "theorem" , "Fundamental theorems --- Lemmas" ,
 "http://dbpedia.org/resource/Fundamental_lemma_of_sieve_theory" , "lemma" , "Theorems in analytic number theory" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_Galois_theory" , "theorem" , "Fundamental theorems --- Theorems in algebra" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_Riemannian_geometry" , "theorem" , "Fundamental theorems --- Theorems in Riemannian geometry" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_algebra" , "theorem" , "Fundamental theorems --- Theorems in algebra --- Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_algebraic_K-theory" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_arithmetic" , "software --- theorem" , "Fundamental theorems --- Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_calculus" , "theorem" , "Fundamental theorems --- Theorems in calculus --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_curves" , "theorem" , "Fundamental theorems --- Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_ideal_theory_in_number_fields" , "theorem" , "Fundamental theorems" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_linear_algebra" , "theorem" , "Fundamental theorems --- Isomorphism theorems --- Theorems in linear algebra" ,
 "http://dbpedia.org/resource/Fundamental_theorem_of_poker" , "agent" , "Fundamental theorems" ,
 "http://dbpedia.org/resource/Fundamental_theorem_on_homomorphisms" , "theorem" , "Fundamental theorems --- Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Fundamental_theorems_of_welfare_economics" , "theorem" , "Fundamental theorems" ,
 "http://dbpedia.org/resource/Fáry's_theorem" , "theorem --- work" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Gabriel's_theorem" , "theorem" , "Theorems in representation theory" ,
 "http://dbpedia.org/resource/Gabriel–Popescu_theorem" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Gagliardo–Nirenberg_interpolation_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Gale–Ryser_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Gallai–Hasse–Roy–Vitaver_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Gap_theorem" , "theorem" , "Theorems in computational complexity theory" ,
 "http://dbpedia.org/resource/Gauss's_inequality" , "inequality --- theorem" , "Probabilistic inequalities" ,
 "http://dbpedia.org/resource/Gauss's_lemma" , "Wikimedia disambiguation page" , "Lemmas" ,
 "http://dbpedia.org/resource/Gauss's_lemma_(Riemannian_geometry)" , "lemma" , "Lemmas --- Theorems in Riemannian geometry" ,
 "http://dbpedia.org/resource/Gauss's_lemma_(number_theory)" , "lemma" , "Lemmas" ,
 "http://dbpedia.org/resource/Gauss's_lemma_(polynomial)" , "disease" , "Lemmas" ,
 "http://dbpedia.org/resource/Gaussian_integral" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Gaussian_isoperimetric_inequality" , "inequality --- theorem" , "Probabilistic inequalities" ,
 "http://dbpedia.org/resource/Gauss–Bonnet_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Gauss–Lucas_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Gauss–Markov_theorem" , "theorem" , "Statistical theorems" ,
 "http://dbpedia.org/resource/Gelfand–Mazur_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Gelfand–Naimark_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Gelfond–Schneider_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Gell-Mann_and_Low_theorem" , "theorem" , "Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/Generalized_Gauss–Bonnet_theorem" , "theorem" , "Theorems in differential geometry" ,
 "http://dbpedia.org/resource/Generalized_Helmholtz_theorem" , "theorem" , "Theorems in dynamical systems --- Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/Geometric_mean_theorem" , "theorem" , "Theorems in plane geometry" ,
 "http://dbpedia.org/resource/Gerbaldi's_theorem" , "theorem" , "Theorems in linear algebra --- Theorems in projective geometry" ,
 "http://dbpedia.org/resource/Geroch's_splitting_theorem" , "theorem" , "Theorems in general relativity --- Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/Gershgorin_circle_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Gibbs'_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Gilman–Griess_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Girsanov_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Glaisher's_theorem" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/Gleason's_theorem" , "theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Glivenko–Cantelli_theorem" , "theorem" , "Probability theorems --- Statistical theorems" ,
 "http://dbpedia.org/resource/Goddard–Thorn_theorem" , "theorem" , "Theorems in abstract algebra --- Theorems in mathematical physics" ,
 "http://dbpedia.org/resource/Godunov's_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Going_up_and_going_down" , "country --- theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Goldbach's_weak_conjecture" , "conjecture" , "Conjectures which were proven" ,
 "http://dbpedia.org/resource/Goldbach–Euler_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Goldberg–Sachs_theorem" , "theorem" , "Theorems in general relativity" ,
 "http://dbpedia.org/resource/Golden–Thompson_inequality" , "inequality --- theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Goldie's_theorem" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Goldstine_theorem" , "theorem" , "Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Golod–Shafarevich_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Goodstein's_theorem" , "theorem" , "Theorems in the foundations of mathematics" ,
 "http://dbpedia.org/resource/Gordon–Luecke_theorem" , "organisation --- theorem" , "Theorems in topology" ,
 "http://dbpedia.org/resource/Gordon–Newell_theorem" , "software --- theorem" , "Probability theorems" ,
 "http://dbpedia.org/resource/Gorenstein–Harada_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Gorenstein–Walter_theorem" , "ethnic group --- theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Goursat's_lemma" , "theorem" , "Lemmas" ,
 "http://dbpedia.org/resource/Grace–Walsh–Szegő_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Gradient_conjecture" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Gradient_theorem" , "theorem" , "Theorems in calculus" ,
 "http://dbpedia.org/resource/Gram's_theorem" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Graph_structure_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Gras_conjecture" , "conjecture" , "Theorems in algebraic number theory" ,
 "http://dbpedia.org/resource/Grauert–Riemenschneider_vanishing_theorem" , "software --- theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Green's_theorem" , "Supreme Court of the United States case --- theorem" , "Theorems in calculus" ,
 "http://dbpedia.org/resource/Green–Tao_theorem" , "theorem" , "Theorems about prime numbers" ,
 "http://dbpedia.org/resource/Griffiths_inequality" , "inequality" , "Inequalities" ,
 "http://dbpedia.org/resource/Grinberg's_theorem" , "disease --- theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/Gromov's_compactness_theorem_(geometry)" , "theorem" , "Theorems in Riemannian geometry" ,
 "http://dbpedia.org/resource/Gromov's_compactness_theorem_(topology)" , "theorem" , "Compactness theorems" ,
